what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1277712533789
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1277712533795
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1277712533810
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1277712533823
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1277712533823
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1277712533838
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1277712533838
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1277712533850
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1277712533859
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1277712533860
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1277712533869
os,sysinfo,,,"linux",1277712533878
arch,sysinfo,,,"x86",1277712533878
ws,sysinfo,,,"gtk",1277712533878
locale,sysinfo,,,"en_IN",1277712533878
processors,sysinfo,,,"2",1277712533878
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1277712533878
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1277712533878
java.specification.name,sysinfo,,,"Java Platform API Specification",1277712533878
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277712533878
java.specification.version,sysinfo,,,"1.6",1277712533878
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1277712533878
java.version,sysinfo,,,"1.6.0_20",1277712533878
java.vm.info,sysinfo,,,"mixed mode, sharing",1277712533878
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1277712533878
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1277712533879
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1277712533879
java.vm.specification.version,sysinfo,,,"1.0",1277712533879
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1277712533879
java.vm.version,sysinfo,,,"16.3-b01",1277712533879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277712536871
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1277712538693
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277712543644
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1277712543663
